2024-06-29 13:02:00.910 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 13:02:02.870 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 13:02:04.803 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 13:02:06.797 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
2024-06-29 13:02:08.750 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 13:02:10.697 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 13:02:12.640 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 13:02:14.580 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 13:02:16.565 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
2024-06-29 13:02:18.779 | ERROR   | _logging.py:63 [MainThread] -     self.write_and_convert(text)
2024-06-29 13:02:21.095 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 202, in write_and_convert
2024-06-29 13:02:24.005 | ERROR   | _logging.py:63 [MainThread] -     self.write_plain_text(text, cursor, start)
2024-06-29 13:02:26.524 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 211, in write_plain_text
2024-06-29 13:02:28.812 | ERROR   | _logging.py:63 [MainThread] -     self.wrapped.flush()
2024-06-29 13:02:30.943 | ERROR   | _logging.py:63 [MainThread] - OSError: [WinError 233] No process is on the other end of the pipe
2024-06-29 13:02:33.033 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 13:02:35.201 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 13:02:37.273 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 13:02:39.219 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
2024-06-29 13:02:41.210 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 13:02:43.260 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 13:02:45.354 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 13:02:47.463 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 13:02:49.474 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
2024-06-29 13:02:51.463 | ERROR   | _logging.py:63 [MainThread] -     self.write_and_convert(text)
2024-06-29 13:02:53.402 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 202, in write_and_convert
2024-06-29 13:02:55.354 | ERROR   | _logging.py:63 [MainThread] -     self.write_plain_text(text, cursor, start)
2024-06-29 13:02:57.288 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 211, in write_plain_text
2024-06-29 13:02:59.256 | ERROR   | _logging.py:63 [MainThread] -     self.wrapped.flush()
2024-06-29 13:03:01.196 | ERROR   | _logging.py:63 [MainThread] - OSError: [WinError 233] No process is on the other end of the pipe
2024-06-29 13:03:03.114 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 13:03:05.224 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 13:03:07.156 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 13:03:09.084 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
